,Hg,Pb,As,Cd,Cu
1,0.08,0.8,0.2,0.04000000000000002,0.8
2,0.08,0.8,0.2,0.08,0.8
3,0.08,0.8,0.2,0.3,0.8
4,0.08,0.8,0.2,0.04000000000000002,1.5
5,0.08,0.8,0.2,0.08,1.5
6,0.08,0.8,0.2,0.3,1.5
7,0.08,0.8,0.4,0.04000000000000002,0.8
8,0.08,0.8,0.4,0.08,0.8
9,0.08,0.8,0.4,0.3,0.8
10,0.08,0.8,0.4,0.04000000000000002,1.5
11,0.08,0.8,0.4,0.08,1.5
12,0.08,0.8,0.4,0.3,1.5
13,0.08,0.8,0.8,0.04000000000000002,0.8
14,0.08,0.8,0.8,0.08,0.8
15,0.08,0.8,0.8,0.3,0.8
16,0.08,0.8,0.8,0.04000000000000002,1.5
17,0.08,0.8,0.8,0.08,1.5
18,0.08,0.8,0.8,0.3,1.5
19,0.08,1.5,0.2,0.04000000000000002,0.8
20,0.08,1.5,0.2,0.08,0.8
21,0.08,1.5,0.2,0.3,0.8
22,0.08,1.5,0.2,0.04000000000000002,1.5
23,0.08,1.5,0.2,0.08,1.5
24,0.08,1.5,0.2,0.3,1.5
25,0.08,1.5,0.4,0.04000000000000002,0.8
26,0.08,1.5,0.4,0.08,0.8
27,0.08,1.5,0.4,0.3,0.8
28,0.08,1.5,0.4,0.04000000000000002,1.5
29,0.08,1.5,0.4,0.08,1.5
30,0.08,1.5,0.4,0.3,1.5
31,0.08,1.5,0.8,0.04000000000000002,0.8
32,0.08,1.5,0.8,0.08,0.8
33,0.08,1.5,0.8,0.3,0.8
34,0.08,1.5,0.8,0.04000000000000002,1.5
35,0.08,1.5,0.8,0.08,1.5
36,0.08,1.5,0.8,0.3,1.5
37,0.08,3.0,0.2,0.04000000000000002,0.8
38,0.08,3.0,0.2,0.08,0.8
39,0.08,3.0,0.2,0.3,0.8
40,0.08,3.0,0.2,0.04000000000000002,1.5
41,0.08,3.0,0.2,0.08,1.5
42,0.08,3.0,0.2,0.3,1.5
43,0.08,3.0,0.4,0.04000000000000002,0.8
44,0.08,3.0,0.4,0.08,0.8
45,0.08,3.0,0.4,0.3,0.8
46,0.08,3.0,0.4,0.04000000000000002,1.5
47,0.08,3.0,0.4,0.08,1.5
48,0.08,3.0,0.4,0.3,1.5
49,0.08,3.0,0.8,0.04000000000000002,0.8
50,0.08,3.0,0.8,0.08,0.8
51,0.08,3.0,0.8,0.3,0.8
52,0.08,3.0,0.8,0.04000000000000002,1.5
53,0.08,3.0,0.8,0.08,1.5
54,0.08,3.0,0.8,0.3,1.5
55,0.3,0.8,0.2,0.04000000000000002,0.8
56,0.3,0.8,0.2,0.08,0.8
57,0.3,0.8,0.2,0.3,0.8
58,0.3,0.8,0.2,0.04000000000000002,1.5
59,0.3,0.8,0.2,0.08,1.5
60,0.3,0.8,0.2,0.3,1.5
61,0.3,0.8,0.4,0.04000000000000002,0.8
62,0.3,0.8,0.4,0.08,0.8
63,0.3,0.8,0.4,0.3,0.8
64,0.3,0.8,0.4,0.04000000000000002,1.5
65,0.3,0.8,0.4,0.08,1.5
66,0.3,0.8,0.4,0.3,1.5
67,0.3,0.8,0.8,0.04000000000000002,0.8
68,0.3,0.8,0.8,0.08,0.8
69,0.3,0.8,0.8,0.3,0.8
70,0.3,0.8,0.8,0.04000000000000002,1.5
71,0.3,0.8,0.8,0.08,1.5
72,0.3,0.8,0.8,0.3,1.5
73,0.3,1.5,0.2,0.04000000000000002,0.8
74,0.3,1.5,0.2,0.08,0.8
75,0.3,1.5,0.2,0.3,0.8
76,0.3,1.5,0.2,0.04000000000000002,1.5
77,0.3,1.5,0.2,0.08,1.5
78,0.3,1.5,0.2,0.3,1.5
79,0.3,1.5,0.4,0.04000000000000002,0.8
80,0.3,1.5,0.4,0.08,0.8
81,0.3,1.5,0.4,0.3,0.8
82,0.3,1.5,0.4,0.04000000000000002,1.5
83,0.3,1.5,0.4,0.08,1.5
84,0.3,1.5,0.4,0.3,1.5
85,0.3,1.5,0.8,0.04000000000000002,0.8
86,0.3,1.5,0.8,0.08,0.8
87,0.3,1.5,0.8,0.3,0.8
88,0.3,1.5,0.8,0.04000000000000002,1.5
89,0.3,1.5,0.8,0.08,1.5
90,0.3,1.5,0.8,0.3,1.5
91,0.3,3.0,0.2,0.04000000000000002,0.8
92,0.3,3.0,0.2,0.08,0.8
93,0.3,3.0,0.2,0.3,0.8
94,0.3,3.0,0.2,0.04000000000000002,1.5
95,0.3,3.0,0.2,0.08,1.5
96,0.3,3.0,0.2,0.3,1.5
97,0.3,3.0,0.4,0.04000000000000002,0.8
98,0.3,3.0,0.4,0.08,0.8
99,0.3,3.0,0.4,0.3,0.8
100,0.3,3.0,0.4,0.04000000000000002,1.5
101,0.3,3.0,0.4,0.08,1.5
102,0.3,3.0,0.4,0.3,1.5
103,0.3,3.0,0.8,0.04000000000000002,0.8
104,0.3,3.0,0.8,0.08,0.8
105,0.3,3.0,0.8,0.3,0.8
106,0.3,3.0,0.8,0.04000000000000002,1.5
107,0.3,3.0,0.8,0.08,1.5
108,0.3,3.0,0.8,0.3,1.5
