Time,0,0.10693694444444445,0.21387,0.3208027777777778,0.4277358333333333,0.5346644444444444,0.6415972222222223,0.7485344444444445,0.8554675,0.9624013888888889,1.0693333333333332,1.176266111111111,1.2831944444444445,1.3901319444444447,1.497068888888889,1.6040022222222223,1.7109347222222222,1.8178727777777777,1.9248008333333335,2.0317333333333334,2.138666388888889,2.2455994444444447,2.352532222222222,2.4594650000000002,2.566393333333333,2.6733308333333334,2.780263611111111,2.8871963888888885,2.9941294444444444,3.101066388888889,3.207999444444445,3.3149325,3.421865,3.5287977777777777,3.635731111111111,3.742659722222222,3.849596944444445,3.956529722222222,4.0634625,4.170391111111111,4.277328333333333,4.384261111111111,4.491194166666667,4.598126944444445,4.705059722222222,4.8119925,4.9189211111111115,5.025858333333334,5.132791111111111,5.239723888888889,5.346661388888889,5.453594166666666,5.560527222222222,5.66746,5.774392777777777,5.8813297222222225,5.988263055555556,6.095195833333334,6.202128888888889,6.309065833333333,6.415998611111111,6.522935833333333,6.6298775,6.736806111111111,6.8437391666666665,6.950671944444445,7.057604722222222,7.1645375,7.271470277777778,7.378403333333334,7.485336388888888,7.592269166666667,7.699201944444445,7.806130555555556,7.913067777777778,8.019996111111112,8.126933333333334,8.233866389,8.340799166666667,8.447731944444444,8.554660555555555,8.661597777777779,8.768530833333333,8.875463611111112,8.982401388888889,9.089329722222223,9.196262222222222,9.303195,9.4101325,9.517065277777776,9.624002222222224,9.730935277777776,9.837868055555555,9.944801111111111,10.051738055555555,10.158671111111111,10.265604166666668,10.372536944444445,10.479469722222222,10.5864025,10.693335555555556,10.800268333333333,10.907205555555556,11.014138333333333,11.121075555555556,11.228008333333333,11.334941666666667,11.441878611111111,11.548811388888888,11.655744166666665,11.762677222222221,11.86961,11.976543055555556,12.083475555555557,12.19040861111111,12.297341666666666,12.40427861111111,12.511215833333333,12.61814888888889,12.72508611111111,12.832023333333334,12.938964722222222,13.0458975,13.152830555555557,13.25976361111111,13.366700555555557,13.473633333333334,13.580570833333333,13.687503611111111,13.794436666666668,13.901369444444445,14.008302222222222,14.115235,14.222168055555557,14.329100833333333,14.43603361111111,14.542966666666667,14.64990361111111,14.756836388888889,14.863769444444443,14.970697777777778,15.077635277777778,15.184568055555555,15.291500833333332,15.398433888888889,15.505366666666667,15.612299722222224,15.7192325,15.826165277777777,15.933098055555556,16.040030833333333,16.146959444444445,16.253896666666666,16.360829722222224,16.4677625,16.574695833333333,16.681628333333332,16.78856138888889,16.89549388888889,17.002426944444444,17.109359722222223,17.216292777777777,17.323225555555556,17.430163611111112,17.537086944444443,17.644028333333335,17.750965833333332,17.857902777777777,17.96484,18.071773055555557,18.178706388888887
A7,0.0956,0.0998,0.1004,0.1007,0.1014,0.1025,0.1041,0.1062,0.109,0.1121,0.1159,0.1206,0.1267,0.1339,0.1435,0.1555,0.1704,0.1886,0.2104,0.2261,0.2431,0.2717,0.3033,0.3429,0.3716,0.4058,0.4419,0.4773,0.5271,0.5566,0.5853,0.6185,0.6446,0.6669,0.6869,0.7068,0.7308,0.749,0.7658,0.7815,0.7979,0.8135,0.828,0.8431,0.8572,0.8716,0.8845,0.8967,0.9091,0.9207,0.9319,0.9444,0.9576,0.9688,0.9785,0.9881,0.9984,1.0073,1.0157,1.0239,1.0312,1.039,1.0476,1.056,1.0632,1.0706,1.0783,1.085,1.0921,1.0984,1.1049,1.1111,1.1173,1.1229,1.1283,1.134,1.1389,1.1478,1.1556,1.1606,1.1637,1.1657,1.1668,1.1678,1.1685,1.1684,1.1692,1.1686,1.168,1.168,1.1679,1.167,1.1675,1.1673,1.1658,1.1651,1.1647,1.164,1.1638,1.1635,1.1626,1.1623,1.1609,1.1603,1.1593,1.1592,1.1584,1.1571,1.1566,1.1552,1.155,1.1544,1.1532,1.153,1.1513,1.1506,1.15,1.1491,1.1484,1.1479,1.1461,1.1458,1.1452,1.145,1.1439,1.143,1.1421,1.1417,1.1405,1.1399,1.1392,1.1386,1.1378,1.1368,1.1367,1.1358,1.1352,1.1344,1.1336,1.1326,1.132,1.1311,1.1305,1.1294,1.1286,1.1273,1.1269,1.1255,1.1252,1.1239,1.1239,1.1231,1.122,1.1216,1.1214,1.121,1.1208,1.12,1.1198,1.119,1.1186,1.1178,1.1174,1.1169,1.1166,1.116,1.1157,1.1157,1.1142,1.1142,1.1137
A8,0.0974,0.1005,0.1004,0.1008,0.1015,0.1028,0.1044,0.1063,0.109,0.1122,0.1161,0.1209,0.1274,0.1353,0.1447,0.1571,0.1725,0.19,0.2132,0.2255,0.246,0.274,0.3086,0.3398,0.3712,0.4059,0.4425,0.4806,0.5276,0.5584,0.595,0.6216,0.6458,0.6666,0.687,0.7123,0.732,0.7499,0.7665,0.7823,0.7981,0.8141,0.8285,0.8435,0.8575,0.8721,0.8859,0.8992,0.9128,0.9257,0.9385,0.9528,0.9651,0.977,0.9875,0.997,1.0068,1.015,1.0247,1.0345,1.0432,1.0521,1.0595,1.0678,1.0753,1.0824,1.0895,1.0971,1.1035,1.1096,1.1165,1.1226,1.1281,1.1328,1.1385,1.1454,1.15,1.1527,1.1549,1.1558,1.1563,1.1563,1.1564,1.1565,1.1563,1.156,1.1564,1.1553,1.1548,1.1546,1.1533,1.1535,1.153,1.1524,1.151,1.1502,1.1493,1.1488,1.1478,1.1471,1.1456,1.1459,1.1445,1.1435,1.1424,1.1416,1.1402,1.1391,1.1386,1.1373,1.1363,1.1355,1.135,1.1344,1.1327,1.132,1.131,1.1299,1.1288,1.1283,1.1271,1.1262,1.1256,1.1243,1.1238,1.1228,1.1217,1.1214,1.1202,1.1185,1.1182,1.1169,1.1164,1.116,1.1153,1.1142,1.1133,1.1125,1.1117,1.1107,1.11,1.1091,1.1082,1.1069,1.1066,1.1054,1.1054,1.1044,1.1041,1.1026,1.1014,1.1005,1.0997,1.0992,1.0981,1.0969,1.0964,1.0959,1.0957,1.0944,1.0946,1.093,1.0926,1.0921,1.0912,1.0904,1.0893,1.0891,1.0878,1.0871,1.0864
A9,0.1061,0.1009,0.1011,0.1009,0.102,0.1031,0.1045,0.1064,0.1092,0.1124,0.1166,0.1215,0.1286,0.1368,0.1468,0.1592,0.1755,0.1937,0.217,0.2307,0.2517,0.2797,0.3129,0.3455,0.3771,0.4114,0.4479,0.4822,0.5295,0.5606,0.5885,0.617,0.6407,0.6614,0.6883,0.7088,0.7274,0.7454,0.7612,0.7768,0.7926,0.808,0.8227,0.8368,0.8503,0.8631,0.8759,0.8882,0.901,0.913,0.9248,0.9368,0.9491,0.9594,0.9722,0.9831,0.9931,1.0031,1.0117,1.0194,1.0274,1.0366,1.0455,1.0541,1.0616,1.068,1.0758,1.0827,1.0894,1.0956,1.1027,1.1085,1.1149,1.121,1.1259,1.1322,1.1362,1.1409,1.1458,1.1535,1.1581,1.1604,1.1621,1.1635,1.1637,1.164,1.1639,1.164,1.1635,1.1637,1.162,1.1624,1.1619,1.1614,1.1605,1.1592,1.1593,1.1581,1.1572,1.1574,1.1557,1.1552,1.1541,1.1534,1.1521,1.1515,1.15,1.1498,1.1487,1.1475,1.1463,1.1458,1.1442,1.1438,1.1422,1.1418,1.1411,1.1397,1.1393,1.1381,1.1366,1.1359,1.135,1.1343,1.1333,1.1323,1.1317,1.1305,1.1297,1.128,1.1277,1.1264,1.1261,1.1248,1.1243,1.1235,1.1221,1.1221,1.1204,1.1193,1.1188,1.1179,1.117,1.1162,1.1148,1.1145,1.1138,1.1129,1.1127,1.1106,1.1111,1.1099,1.1092,1.1085,1.1078,1.1068,1.1057,1.1056,1.1043,1.1036,1.103,1.1018,1.1012,1.0998,1.0995,1.098,1.0969,1.0964,1.0952,1.0941,1.0932
A10,0.0925,0.0985,0.0984,0.0987,0.0992,0.1003,0.1016,0.1032,0.1055,0.1082,0.1114,0.1151,0.1196,0.1251,0.1316,0.1396,0.1493,0.1611,0.175,0.1905,0.2106,0.2242,0.2392,0.2617,0.2883,0.3212,0.3471,0.378,0.4105,0.4437,0.48,0.5182,0.5468,0.5781,0.6029,0.6233,0.6443,0.6639,0.6827,0.7,0.7168,0.7322,0.7459,0.7604,0.7743,0.7869,0.8005,0.8116,0.8249,0.8357,0.8465,0.8579,0.8701,0.8819,0.8928,0.9032,0.9125,0.9228,0.9326,0.9403,0.948,0.9549,0.9618,0.9671,0.9726,0.9789,0.9851,0.9891,0.9956,1.0001,1.0044,1.0096,1.014,1.0173,1.0213,1.0259,1.0286,1.0334,1.0376,1.041,1.0447,1.0486,1.0511,1.054,1.0565,1.0593,1.0604,1.062,1.0645,1.0646,1.0658,1.0681,1.0677,1.0696,1.0696,1.0704,1.0729,1.071,1.0714,1.0725,1.0727,1.0732,1.0733,1.0727,1.0728,1.0745,1.0732,1.0733,1.0739,1.0748,1.0751,1.0758,1.0759,1.0753,1.0733,1.0736,1.0731,1.0717,1.0701,1.0692,1.0681,1.0672,1.0659,1.065,1.0634,1.0623,1.0609,1.0597,1.0586,1.0569,1.056,1.0544,1.0539,1.0525,1.0518,1.05,1.0492,1.0477,1.0466,1.0457,1.0443,1.0424,1.0418,1.0408,1.0392,1.037,1.0369,1.0356,1.0343,1.0329,1.032,1.0311,1.0294,1.029,1.0274,1.0264,1.0283,1.028,1.0232,1.0212,1.0204,1.0217,1.0208,1.0175,1.0162,1.0156,1.0143,1.0133,1.0119,1.0113,1.0103
A11,0.0968,0.1019,0.1023,0.102,0.1026,0.1034,0.1049,0.107,0.1089,0.1111,0.1144,0.1176,0.123,0.1284,0.1348,0.1427,0.1523,0.164,0.1777,0.1939,0.2137,0.2249,0.2419,0.2638,0.2921,0.3229,0.3489,0.3789,0.4121,0.4435,0.4791,0.513,0.541,0.5709,0.5946,0.6153,0.6354,0.6536,0.6753,0.6912,0.7069,0.7229,0.7368,0.7505,0.7648,0.7773,0.7905,0.802,0.8139,0.8243,0.8349,0.8466,0.8562,0.8656,0.8777,0.8869,0.8974,0.9091,0.9174,0.9271,0.9369,0.9441,0.9507,0.9571,0.9626,0.9678,0.9735,0.9792,0.9834,0.9891,0.9948,0.999,1.0041,1.0078,1.012,1.0166,1.0202,1.0236,1.0278,1.032,1.0353,1.0385,1.0436,1.0461,1.0502,1.0532,1.0547,1.0564,1.0588,1.0598,1.0611,1.0633,1.0653,1.0639,1.0653,1.0655,1.0663,1.0669,1.0677,1.0683,1.0679,1.0697,1.07,1.0719,1.0711,1.069,1.0688,1.069,1.0701,1.0697,1.0704,1.0712,1.0718,1.072,1.0716,1.072,1.0712,1.0706,1.0692,1.0682,1.0677,1.0673,1.0649,1.0646,1.0635,1.0616,1.0603,1.0598,1.0585,1.0576,1.0553,1.0548,1.0534,1.0524,1.0513,1.0498,1.0492,1.0477,1.0466,1.0455,1.0434,1.043,1.0415,1.0404,1.0398,1.0385,1.0368,1.0356,1.0342,1.0323,1.0313,1.031,1.0296,1.0285,1.0281,1.0254,1.0247,1.024,1.0235,1.0219,1.0212,1.02,1.0189,1.0174,1.0171,1.0151,1.0151,1.0138,1.0131,1.011,1.0106
A12,0.0941,0.1001,0.0998,0.1002,0.1008,0.1019,0.1034,0.1051,0.1077,0.1105,0.114,0.1177,0.1227,0.1285,0.1358,0.1441,0.1543,0.1671,0.1812,0.1979,0.2188,0.2291,0.2474,0.2705,0.3004,0.3304,0.3578,0.3897,0.4232,0.456,0.4953,0.5282,0.5618,0.589,0.6111,0.6326,0.652,0.6715,0.6911,0.7083,0.7233,0.739,0.752,0.765,0.7803,0.7935,0.8059,0.8168,0.8294,0.8416,0.8536,0.8662,0.8779,0.8889,0.8997,0.91,0.92,0.9306,0.9388,0.9463,0.9544,0.9605,0.9661,0.9727,0.9786,0.9839,0.9895,0.9955,1.0005,1.0035,1.0091,1.0139,1.0182,1.0218,1.0251,1.0292,1.0329,1.0371,1.0418,1.0449,1.048,1.0513,1.0531,1.0558,1.0582,1.0605,1.0607,1.0618,1.0639,1.065,1.0654,1.067,1.0667,1.0692,1.0683,1.0706,1.0698,1.069,1.0697,1.0703,1.0702,1.0706,1.0701,1.0702,1.0713,1.0715,1.0718,1.0716,1.0719,1.0709,1.0706,1.0719,1.0709,1.0708,1.0704,1.0722,1.072,1.0718,1.0711,1.0708,1.0698,1.069,1.0684,1.0677,1.0664,1.065,1.0645,1.0632,1.062,1.0609,1.0599,1.0617,1.0582,1.0572,1.0557,1.0547,1.0533,1.0523,1.0513,1.0498,1.0488,1.0478,1.0469,1.0458,1.0446,1.0433,1.0427,1.0416,1.0408,1.0401,1.0379,1.037,1.0355,1.0353,1.0349,1.0325,1.0341,1.0311,1.03,1.0292,1.0284,1.0272,1.0259,1.0254,1.0243,1.0236,1.022,1.0214,1.0198,1.0183,1.017
B12,0.1069,0.1127,0.1084,0.1082,0.1084,0.11,0.1116,0.1132,0.1156,0.1187,0.1234,0.1264,0.133,0.1355,0.1522,0.1517,0.1617,0.1745,0.1983,0.2283,0.2304,0.2397,0.2609,0.2776,0.311,0.3408,0.3769,0.4059,0.4349,0.4683,0.52,0.5441,0.5766,0.602,0.6254,0.6464,0.6645,0.683,0.7014,0.7164,0.7325,0.7482,0.7609,0.7745,0.7878,0.801,0.8138,0.8241,0.8368,0.8485,0.8589,0.8703,0.8822,0.8934,0.9038,0.9144,0.9256,0.9358,0.9443,0.9523,0.9605,0.9658,0.9716,0.9783,0.9839,0.9888,0.9945,1.0012,1.0026,1.0093,1.0141,1.0171,1.0203,1.0246,1.0288,1.0314,1.0349,1.038,1.0431,1.0441,1.048,1.0501,1.0525,1.0539,1.055,1.0572,1.0584,1.058,1.0601,1.0609,1.0614,1.0625,1.0626,1.065,1.065,1.0657,1.0648,1.0644,1.0659,1.0664,1.0663,1.0659,1.0661,1.0677,1.0676,1.0676,1.0684,1.0676,1.0662,1.0678,1.0687,1.0679,1.0672,1.0665,1.0664,1.0675,1.0682,1.0678,1.0668,1.0661,1.0654,1.0652,1.0664,1.0667,1.0662,1.0658,1.0654,1.0658,1.0652,1.0655,1.0637,1.0631,1.0614,1.0612,1.0616,1.0602,1.0591,1.0573,1.0558,1.0555,1.0554,1.0541,1.0528,1.0506,1.0499,1.0488,1.048,1.0472,1.0472,1.0456,1.0441,1.044,1.0431,1.0415,1.0411,1.04,1.04,1.0392,1.0368,1.0375,1.0361,1.0358,1.0335,1.032,1.0326,1.0307,1.0294,1.029,1.0286,1.0267,1.0264
B11,0.0959,0.1014,0.1015,0.1005,0.101,0.1018,0.1029,0.1044,0.1065,0.1088,0.1116,0.1149,0.1188,0.124,0.1301,0.1372,0.1458,0.1567,0.1695,0.1831,0.1999,0.2189,0.2292,0.2467,0.2687,0.2942,0.3271,0.355,0.3827,0.4143,0.4447,0.4771,0.5174,0.5512,0.5807,0.605,0.6249,0.6448,0.6638,0.6807,0.6965,0.7124,0.7254,0.7388,0.753,0.7644,0.7769,0.7875,0.7994,0.8099,0.8197,0.8309,0.8403,0.8495,0.8589,0.8681,0.8765,0.8855,0.8946,0.9034,0.912,0.9193,0.9263,0.9344,0.9389,0.9448,0.9512,0.9592,0.9637,0.9681,0.975,0.9786,0.984,0.9876,0.9912,0.996,0.9997,1.0028,1.0057,1.0085,1.0112,1.0141,1.0178,1.0217,1.0255,1.0279,1.0305,1.033,1.0342,1.0377,1.0362,1.0376,1.04,1.0398,1.0405,1.0404,1.0417,1.041,1.0416,1.0425,1.043,1.0441,1.0443,1.0447,1.0443,1.0448,1.0451,1.0451,1.0451,1.0453,1.0457,1.0464,1.0454,1.0458,1.0454,1.0455,1.0455,1.0449,1.045,1.0451,1.0449,1.0445,1.0459,1.0464,1.0468,1.0463,1.0461,1.0467,1.0448,1.0445,1.0435,1.0426,1.0421,1.0407,1.0403,1.0388,1.038,1.0362,1.0361,1.0347,1.0333,1.032,1.0314,1.0302,1.0291,1.0282,1.0278,1.0253,1.0247,1.0234,1.023,1.0221,1.0203,1.0197,1.019,1.0181,1.0167,1.016,1.0146,1.0142,1.0133,1.0119,1.011,1.0096,1.009,1.0077,1.0069,1.0059,1.0051,1.0037,1.0032
B10,0.1028,0.1111,0.105,0.1094,0.1098,0.1118,0.1127,0.1165,0.1198,0.1228,0.1249,0.1301,0.1339,0.1409,0.1489,0.1561,0.1672,0.1799,0.1971,0.2107,0.228,0.2419,0.2594,0.2808,0.3063,0.3355,0.3599,0.384,0.4102,0.4404,0.4673,0.4943,0.525,0.5552,0.5835,0.6027,0.6196,0.6386,0.6531,0.666,0.6795,0.6902,0.6995,0.7088,0.7191,0.7272,0.7364,0.7426,0.7545,0.7599,0.7677,0.7741,0.7824,0.7878,0.7943,0.8008,0.8069,0.8124,0.8187,0.8236,0.8323,0.8361,0.8394,0.8451,0.849,0.8564,0.8591,0.8628,0.8648,0.8688,0.875,0.8773,0.8822,0.8852,0.8895,0.8906,0.8944,0.8989,0.9002,0.9027,0.9048,0.9081,0.9104,0.9139,0.916,0.9177,0.9228,0.9243,0.9283,0.93,0.9347,0.9356,0.9392,0.9409,0.9404,0.9429,0.946,0.9451,0.9471,0.9479,0.9486,0.9508,0.9511,0.9526,0.9536,0.9549,0.954,0.9547,0.9539,0.9561,0.959,0.9585,0.9556,0.9567,0.9558,0.9576,0.956,0.9568,0.9552,0.9586,0.9556,0.9569,0.9556,0.9547,0.9569,0.9547,0.9542,0.957,0.955,0.9534,0.9531,0.9537,0.9546,0.9525,0.9528,0.9517,0.9543,0.9508,0.9523,0.9512,0.9508,0.9506,0.9518,0.9519,0.9512,0.9485,0.9527,0.9482,0.9507,0.9465,0.9509,0.9491,0.9449,0.9494,0.9476,0.9472,0.9426,0.9446,0.942,0.94,0.9406,0.9379,0.9355,0.9347,0.9332,0.9316,0.9332,0.9315,0.9323,0.9291,0.9285
